data_trend,data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,CLIP,Lie_Factor,Match_count,Rank_Sim
falling,4,pine_tree,blur,0.8,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3575,inf,1,0.0
falling,4,pine_tree,blur,0.8,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3452,inf,1,0.0
falling,4,pine_tree,blur,0.8,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3716,inf,1,0.0
falling,4,pine_tree,blur,0.8,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3804,inf,0,0.0
falling,4,pine_tree,blur,0.8,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3532,inf,1,0.0
falling,4,pine_tree,blur,0.8,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3718,inf,0,0.0
falling,4,pine_tree,blur,0.8,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3582,inf,0,0.0
falling,4,pine_tree,blur,0.8,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3526,inf,1,0.0
falling,4,pine_tree,blur,0.8,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3865,inf,0,0.0
falling,4,pine_tree,blur,0.8,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3739,inf,1,0.0
falling,4,pine_tree,blur,0.8,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.359,inf,0,0.0
falling,4,pine_tree,blur,0.8,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3913,inf,0,0.0
falling,4,pine_tree,blur,0.8,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3584,inf,1,0.0
falling,4,pine_tree,blur,0.8,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3733,inf,2,1.0
falling,4,pine_tree,blur,0.8,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3811,inf,1,0.0
falling,4,pine_tree,sparse,0.4,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3676,inf,0,0.0
falling,4,pine_tree,sparse,0.4,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3388,inf,0,0.0
falling,4,pine_tree,sparse,0.4,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3438,inf,1,0.0
falling,4,pine_tree,sparse,0.4,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3745,inf,2,1.0
falling,4,pine_tree,sparse,0.4,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3566,inf,0,0.0
falling,4,pine_tree,sparse,0.4,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3809,inf,0,0.0
falling,4,pine_tree,sparse,0.4,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3515,inf,1,0.0
falling,4,pine_tree,sparse,0.4,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3507,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3505,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3847,inf,0,0.0
